assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCF_008824125.1	PRJNA224116	SAMN12262385	na	na	na	na	562	562	Escherichia coli	strain=ecMN1F	na	latest	Complete Genome	Major	Full	2019/10/05	ASM882412v1		GCA_008824125.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/824/125/GCF_008824125.1_ASM882412v1	./GCF_008824125.1_ASM882412v1_genomic.fna.gz
GCF_012974805.1	PRJNA224116	SAMN11042946	na	na	na	na	562	562	Escherichia coli	strain=ATCC 25922	na	latest	Complete Genome	Major	Full	2020/05/05	ASM1297480v1		GCA_012974805.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/974/805/GCF_012974805.1_ASM1297480v1	./GCF_012974805.1_ASM1297480v1_genomic.fna.gz
GCF_013004045.1	PRJNA224116	SAMN14785846	na	na	na	na	562	562	Escherichia coli	strain=HB37	na	latest	Complete Genome	Major	Full	2020/05/10	ASM1300404v1		GCA_013004045.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/004/045/GCF_013004045.1_ASM1300404v1	./GCF_013004045.1_ASM1300404v1_genomic.fna.gz
GCF_008807655.1	PRJNA224116	SAMN09976386	na	na	na	na	562	562	Escherichia coli	strain=15.TR.026_OXA	na	latest	Complete Genome	Major	Full	2019/10/03	ASM880765v1		GCA_008807655.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/807/655/GCF_008807655.1_ASM880765v1	./GCF_008807655.1_ASM880765v1_genomic.fna.gz
GCF_008823185.1	PRJNA224116	SAMN12512712	na	na	na	na	562	562	Escherichia coli	strain=PK6	na	latest	Complete Genome	Major	Full	2019/10/04	ASM882318v1		GCA_008823185.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/823/185/GCF_008823185.1_ASM882318v1	./GCF_008823185.1_ASM882318v1_genomic.fna.gz
GCF_008807135.1	PRJNA224116	SAMN12233488	na	na	na	na	562	562	Escherichia coli	strain=YPE10	na	latest	Complete Genome	Major	Full	2019/10/03	ASM880713v1		GCA_008807135.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/807/135/GCF_008807135.1_ASM880713v1	./GCF_008807135.1_ASM880713v1_genomic.fna.gz
GCF_008761515.1	PRJNA224116	SAMN12822941	na	na	na	na	562	562	Escherichia coli	strain=RM9245	na	latest	Complete Genome	Major	Full	2019/10/01	ASM876151v1		GCA_008761515.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/761/515/GCF_008761515.1_ASM876151v1	./GCF_008761515.1_ASM876151v1_genomic.fna.gz
GCF_008926165.1	PRJNA224116	SAMN10177964	na	na	na	na	562	562	Escherichia coli	strain=ERL06-2442	na	latest	Complete Genome	Major	Full	2019/10/09	ASM892616v1		GCA_008926165.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/926/165/GCF_008926165.1_ASM892616v1	./GCF_008926165.1_ASM892616v1_genomic.fna.gz
GCF_008949495.1	PRJNA224116	SAMN10691120	na	na	na	na	562	562	Escherichia coli	strain=XDL	na	latest	Complete Genome	Major	Full	2019/10/09	ASM894949v1		GCA_008949495.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/949/495/GCF_008949495.1_ASM894949v1	./GCF_008949495.1_ASM894949v1_genomic.fna.gz
GCF_008931725.1	PRJNA224116	SAMN12561908	na	na	na	na	562	562	Escherichia coli	strain=JME67	na	latest	Complete Genome	Major	Full	2019/10/09	ASM893172v1		GCA_008931725.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/931/725/GCF_008931725.1_ASM893172v1	./GCF_008931725.1_ASM893172v1_genomic.fna.gz
GCF_008931765.1	PRJNA224116	SAMN12561905	na	na	na	na	562	562	Escherichia coli	strain=JME64	na	latest	Complete Genome	Major	Full	2019/10/09	ASM893176v1		GCA_008931765.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/931/765/GCF_008931765.1_ASM893176v1	./GCF_008931765.1_ASM893176v1_genomic.fna.gz
GCF_008926185.1	PRJNA224116	SAMN10177963	na	na	na	na	562	562	Escherichia coli	strain=ERL05-1306	na	latest	Complete Genome	Major	Full	2019/10/09	ASM892618v1		GCA_008926185.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/926/185/GCF_008926185.1_ASM892618v1	./GCF_008926185.1_ASM892618v1_genomic.fna.gz
GCF_008931865.1	PRJNA224116	SAMN12561907	na	na	na	na	562	562	Escherichia coli	strain=JME66	na	latest	Complete Genome	Major	Full	2019/10/09	ASM893186v1		GCA_008931865.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/931/865/GCF_008931865.1_ASM893186v1	./GCF_008931865.1_ASM893186v1_genomic.fna.gz
GCF_008926085.1	PRJNA224116	SAMN10177968	na	na	na	na	562	562	Escherichia coli	strain=NZRM4165	na	latest	Complete Genome	Major	Full	2019/10/09	ASM892608v1		GCA_008926085.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/926/085/GCF_008926085.1_ASM892608v1	./GCF_008926085.1_ASM892608v1_genomic.fna.gz
GCF_008925965.1	PRJNA224116	SAMN10177969	na	na	na	na	562	562	Escherichia coli	strain=NZRM4169	na	latest	Complete Genome	Major	Full	2019/10/09	ASM892596v1		GCA_008925965.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/925/965/GCF_008925965.1_ASM892596v1	./GCF_008925965.1_ASM892596v1_genomic.fna.gz
GCF_008926145.1	PRJNA224116	SAMN10177965	na	na	na	na	562	562	Escherichia coli	strain=ERL06-2497	na	latest	Complete Genome	Major	Full	2019/10/09	ASM892614v1		GCA_008926145.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/926/145/GCF_008926145.1_ASM892614v1	./GCF_008926145.1_ASM892614v1_genomic.fna.gz
GCF_008926105.1	PRJNA224116	SAMN10177967	na	na	na	na	562	562	Escherichia coli	strain=NZRM3614	na	latest	Complete Genome	Major	Full	2019/10/09	ASM892610v1		GCA_008926105.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/926/105/GCF_008926105.1_ASM892610v1	./GCF_008926105.1_ASM892610v1_genomic.fna.gz
GCF_008931135.1	PRJNA224116	SAMN10177961	na	na	na	na	562	562	Escherichia coli	strain=ERL04-3476	na	latest	Complete Genome	Major	Full	2019/10/09	ASM893113v1		GCA_008931135.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/931/135/GCF_008931135.1_ASM893113v1	./GCF_008931135.1_ASM893113v1_genomic.fna.gz
GCF_008926125.1	PRJNA224116	SAMN10177966	na	na	na	na	562	562	Escherichia coli	strain=ERL06-2503	na	latest	Complete Genome	Major	Full	2019/10/09	ASM892612v1		GCA_008926125.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/926/125/GCF_008926125.1_ASM892612v1	./GCF_008926125.1_ASM892612v1_genomic.fna.gz
GCF_013201235.1	PRJNA224116	SAMN14944002	na	na	na	na	562	562	Escherichia coli	strain=CP8-3_Sichuan	na	latest	Complete Genome	Major	Full	2020/05/31	ASM1320123v1		GCA_013201235.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/201/235/GCF_013201235.1_ASM1320123v1	./GCF_013201235.1_ASM1320123v1_genomic.fna.gz
GCF_013201505.1	PRJNA224116	SAMEA6471229	na	na	na	na	562	562	Escherichia coli	na	2-101	latest	Complete Genome	Major	Full	2020/06/01	ASM1320150v1		GCA_013201505.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/201/505/GCF_013201505.1_ASM1320150v1	./GCF_013201505.1_ASM1320150v1_genomic.fna.gz
GCF_008931745.1	PRJNA224116	SAMN12561906	na	na	na	na	562	562	Escherichia coli	strain=JME65	na	latest	Complete Genome	Major	Full	2019/10/09	ASM893174v1		GCA_008931745.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/931/745/GCF_008931745.1_ASM893174v1	./GCF_008931745.1_ASM893174v1_genomic.fna.gz
GCF_012934435.1	PRJNA224116	SAMN14609768	na	na	na	na	562	562	Escherichia coli	strain=SCU-102	na	latest	Complete Genome	Major	Full	2020/04/30	ASM1293443v1		GCA_012934435.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/934/435/GCF_012934435.1_ASM1293443v1	./GCF_012934435.1_ASM1293443v1_genomic.fna.gz
GCF_009176965.1	PRJNA224116	SAMD00168435	na	na	na	na	562	562	Escherichia coli	strain=GSH8M-2	na	latest	Complete Genome	Major	Full	2019/10/10	ASM917696v1		GCA_009176965.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/176/965/GCF_009176965.1_ASM917696v1	./GCF_009176965.1_ASM917696v1_genomic.fna.gz
GCF_011404475.1	PRJNA224116	SAMD00190251	na	na	na	na	562	562	Escherichia coli	strain=2018-06-4CC	na	latest	Complete Genome	Major	Full	2020/02/10	ASM1140447v1		GCA_011404475.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/404/475/GCF_011404475.1_ASM1140447v1	./GCF_011404475.1_ASM1140447v1_genomic.fna.gz
GCF_011403355.1	PRJNA224116	SAMD00190256	na	na	na	na	562	562	Escherichia coli	strain=2017.15.01CC	na	latest	Complete Genome	Major	Full	2020/02/10	ASM1140335v1		GCA_011403355.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/403/355/GCF_011403355.1_ASM1140335v1	./GCF_011403355.1_ASM1140335v1_genomic.fna.gz
GCF_011404895.1	PRJNA224116	SAMD00190249	na	na	na	na	562	562	Escherichia coli	strain=2018-02-2CC	na	latest	Complete Genome	Major	Full	2020/02/10	ASM1140489v1		GCA_011404895.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/404/895/GCF_011404895.1_ASM1140489v1	./GCF_011404895.1_ASM1140489v1_genomic.fna.gz
GCF_013315695.1	PRJNA224116	SAMN14943545	na	na	na	na	562	562	Escherichia coli	strain=SCU-172	na	latest	Complete Genome	Major	Full	2020/06/10	ASM1331569v1		GCA_013315695.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/315/695/GCF_013315695.1_ASM1331569v1	./GCF_013315695.1_ASM1331569v1_genomic.fna.gz
GCF_005484365.1	PRJNA224116	SAMN10924275	na	na	na	na	562	562	Escherichia coli	strain=AR24.2b	na	latest	Complete Genome	Major	Full	2019/05/17	ASM548436v1		GCA_005484365.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/484/365/GCF_005484365.1_ASM548436v1	./GCF_005484365.1_ASM548436v1_genomic.fna.gz
GCF_009395265.1	PRJNA224116	SAMN13000402	na	na	na	na	562	562	Escherichia coli	strain=ET12567	na	latest	Complete Genome	Major	Full	2019/10/29	ASM939526v1		GCA_009395265.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/395/265/GCF_009395265.1_ASM939526v1	./GCF_009395265.1_ASM939526v1_genomic.fna.gz
GCF_013340785.1	PRJNA224116	SAMD00172786	na	na	na	na	562	562	Escherichia coli	strain=TUM18530	na	latest	Complete Genome	Major	Full	2020/06/05	ASM1334078v1		GCA_013340785.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/340/785/GCF_013340785.1_ASM1334078v1	./GCF_013340785.1_ASM1334078v1_genomic.fna.gz
GCF_013357365.1	PRJNA224116	SAMN14449600	na	na	na	na	562	562	Escherichia coli	strain=RM13322	na	latest	Complete Genome	Major	Full	2020/06/17	ASM1335736v1		GCA_013357365.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/357/365/GCF_013357365.1_ASM1335736v1	./GCF_013357365.1_ASM1335736v1_genomic.fna.gz
GCF_013389615.1	PRJNA224116	SAMN15394023	na	na	na	na	562	562	Escherichia coli	strain=AMSCJX04	na	latest	Complete Genome	Major	Full	2020/07/06	ASM1338961v1		GCA_013389615.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/389/615/GCF_013389615.1_ASM1338961v1	./GCF_013389615.1_ASM1338961v1_genomic.fna.gz
GCF_009432915.1	PRJNA224116	SAMN11633022	na	na	na	na	562	562	Escherichia coli	strain=MA11	na	latest	Complete Genome	Major	Full	2019/10/31	ASM943291v1		GCA_009432915.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/432/915/GCF_009432915.1_ASM943291v1	./GCF_009432915.1_ASM943291v1_genomic.fna.gz
GCF_009432635.1	PRJNA224116	SAMN11633024	na	na	na	na	562	562	Escherichia coli	strain=F3398	na	latest	Complete Genome	Major	Full	2019/10/31	ASM943263v1		GCA_009432635.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/432/635/GCF_009432635.1_ASM943263v1	./GCF_009432635.1_ASM943263v1_genomic.fna.gz
GCF_013371745.1	PRJNA224116	SAMN15229443	na	na	na	na	562	562	Escherichia coli	strain=AH62	na	latest	Complete Genome	Major	Full	2020/06/24	ASM1337174v1		GCA_013371745.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/371/745/GCF_013371745.1_ASM1337174v1	./GCF_013371745.1_ASM1337174v1_genomic.fna.gz
GCF_013372305.1	PRJNA224116	SAMN15075998	na	na	na	na	562	562	Escherichia coli	strain=EcPF40	na	latest	Complete Genome	Major	Full	2020/06/24	ASM1337230v1		GCA_013372305.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/372/305/GCF_013372305.1_ASM1337230v1	./GCF_013372305.1_ASM1337230v1_genomic.fna.gz
GCF_013372385.1	PRJNA224116	SAMN15075994	na	na	na	na	562	562	Escherichia coli	strain=EcPF14	na	latest	Complete Genome	Major	Full	2020/06/24	ASM1337238v1		GCA_013372385.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/372/385/GCF_013372385.1_ASM1337238v1	./GCF_013372385.1_ASM1337238v1_genomic.fna.gz
GCF_013372425.1	PRJNA224116	SAMN15075992	na	na	na	na	562	562	Escherichia coli	strain=EcPF5	na	latest	Complete Genome	Major	Full	2020/06/24	ASM1337242v1		GCA_013372425.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/372/425/GCF_013372425.1_ASM1337242v1	./GCF_013372425.1_ASM1337242v1_genomic.fna.gz
GCF_009433135.1	PRJNA224116	SAMN11633021	na	na	na	na	562	562	Escherichia coli	strain=CV261	na	latest	Complete Genome	Major	Full	2019/10/31	ASM943313v1		GCA_009433135.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/433/135/GCF_009433135.1_ASM943313v1	./GCF_009433135.1_ASM943313v1_genomic.fna.gz
GCF_009432415.1	PRJNA224116	SAMN11633025	na	na	na	na	562	562	Escherichia coli	strain=21B8	na	latest	Complete Genome	Major	Full	2019/10/31	ASM943241v1		GCA_009432415.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/432/415/GCF_009432415.1_ASM943241v1	./GCF_009432415.1_ASM943241v1_genomic.fna.gz
GCF_009432795.1	PRJNA224116	SAMN11633023	na	na	na	na	562	562	Escherichia coli	strain=M7638	na	latest	Complete Genome	Major	Full	2019/10/31	ASM943279v1		GCA_009432795.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/432/795/GCF_009432795.1_ASM943279v1	./GCF_009432795.1_ASM943279v1_genomic.fna.gz
GCF_013388275.1	PRJNA224116	SAMN15348021	na	na	na	na	562	562	Escherichia coli	strain=550	na	latest	Complete Genome	Major	Full	2020/07/04	ASM1338827v1		GCA_013388275.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/388/275/GCF_013388275.1_ASM1338827v1	./GCF_013388275.1_ASM1338827v1_genomic.fna.gz
GCF_013390265.1	PRJNA224116	SAMN14840032	na	na	na	na	562	562	Escherichia coli	strain=M1/5	na	latest	Complete Genome	Major	Full	2020/07/06	ASM1339026v1		GCA_013390265.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/390/265/GCF_013390265.1_ASM1339026v1	./GCF_013390265.1_ASM1339026v1_genomic.fna.gz
GCF_902810405.1	PRJNA224116	SAMEA6595245	na	na	na	na	562	562	Escherichia coli	na	SC480	latest	Complete Genome	Major	Full	2020/06/28	SC480		GCA_902810405.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/810/405/GCF_902810405.1_SC480	./GCF_902810405.1_SC480_genomic.fna.gz
GCF_902810375.1	PRJNA224116	SAMEA6595248	na	na	na	na	562	562	Escherichia coli	na	SC492	latest	Complete Genome	Major	Full	2020/06/28	SC492		GCA_902810375.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/810/375/GCF_902810375.1_SC492	./GCF_902810375.1_SC492_genomic.fna.gz
GCF_902810385.1	PRJNA224116	SAMEA6595241	na	na	na	na	562	562	Escherichia coli	na	SC475	latest	Complete Genome	Major	Full	2020/06/28	SC475		GCA_902810385.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/810/385/GCF_902810385.1_SC475	./GCF_902810385.1_SC475_genomic.fna.gz
GCF_013425935.1	PRJNA224116	SAMN15499972	na	na	na	na	562	562	Escherichia coli	strain=SY3626C1	na	latest	Complete Genome	Major	Full	2020/07/20	ASM1342593v1		GCA_013425935.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/425/935/GCF_013425935.1_ASM1342593v1	./GCF_013425935.1_ASM1342593v1_genomic.fna.gz
GCF_013426075.1	PRJNA224116	SAMN08932748	na	na	na	na	562	562	Escherichia coli	strain=WCHEC035123	na	latest	Complete Genome	Major	Full	2020/07/20	ASM1342607v1		GCA_013426075.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/426/075/GCF_013426075.1_ASM1342607v1	./GCF_013426075.1_ASM1342607v1_genomic.fna.gz
GCF_902810325.1	PRJNA224116	SAMEA6595220	na	na	na	na	562	562	Escherichia coli	na	SC423	latest	Complete Genome	Major	Full	2020/06/28	SC423		GCA_902810325.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/810/325/GCF_902810325.1_SC423	./GCF_902810325.1_SC423_genomic.fna.gz
GCF_902810295.1	PRJNA224116	SAMEA6595214	na	na	na	na	562	562	Escherichia coli	na	SC407	latest	Complete Genome	Major	Full	2020/06/28	SC407		GCA_902810295.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/810/295/GCF_902810295.1_SC407	./GCF_902810295.1_SC407_genomic.fna.gz
GCF_902810395.1	PRJNA224116	SAMEA6595243	na	na	na	na	562	562	Escherichia coli	na	SC477	latest	Complete Genome	Major	Full	2020/06/28	SC477		GCA_902810395.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/810/395/GCF_902810395.1_SC477	./GCF_902810395.1_SC477_genomic.fna.gz
GCF_902810345.1	PRJNA224116	SAMEA6595233	na	na	na	na	562	562	Escherichia coli	na	SC455	latest	Complete Genome	Major	Full	2020/06/28	SC455		GCA_902810345.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/810/345/GCF_902810345.1_SC455	./GCF_902810345.1_SC455_genomic.fna.gz
GCF_902810315.1	PRJNA224116	SAMEA6595225	na	na	na	na	562	562	Escherichia coli	na	SC434	latest	Complete Genome	Major	Full	2020/06/28	SC434		GCA_902810315.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/810/315/GCF_902810315.1_SC434	./GCF_902810315.1_SC434_genomic.fna.gz
GCF_902810335.1	PRJNA224116	SAMEA6595217	na	na	na	na	562	562	Escherichia coli	na	SC418	latest	Complete Genome	Major	Full	2020/06/28	SC418		GCA_902810335.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/810/335/GCF_902810335.1_SC418	./GCF_902810335.1_SC418_genomic.fna.gz
GCF_013425955.1	PRJNA224116	SAMN15502380	na	na	na	na	562	562	Escherichia coli	strain=2D	na	latest	Complete Genome	Major	Full	2020/07/20	ASM1342595v1		GCA_013425955.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/425/955/GCF_013425955.1_ASM1342595v1	./GCF_013425955.1_ASM1342595v1_genomic.fna.gz
GCF_009577985.1	PRJNA224116	SAMN12169096	na	na	na	na	562	562	Escherichia coli	strain=CCUG 73778	na	latest	Complete Genome	Major	Full	2019/11/05	ASM957798v1		GCA_009577985.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/577/985/GCF_009577985.1_ASM957798v1	./GCF_009577985.1_ASM957798v1_genomic.fna.gz
GCF_009664205.1	PRJNA224116	SAMN12385929	na	na	na	na	562	562	Escherichia coli	strain=AQ15	na	latest	Complete Genome	Major	Full	2019/11/15	ASM966420v1		GCA_009664205.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/664/205/GCF_009664205.1_ASM966420v1	./GCF_009664205.1_ASM966420v1_genomic.fna.gz
GCF_009664185.1	PRJNA224116	SAMN12385930	na	na	na	na	562	562	Escherichia coli	strain=SL112	na	latest	Complete Genome	Major	Full	2019/11/15	ASM966418v1		GCA_009664185.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/664/185/GCF_009664185.1_ASM966418v1	./GCF_009664185.1_ASM966418v1_genomic.fna.gz
GCF_009671105.1	PRJNA224116	SAMN13242782	na	na	na	na	562	562	Escherichia coli	strain=1919D3	na	latest	Complete Genome	Major	Full	2019/11/19	ASM967110v1		GCA_009671105.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/671/105/GCF_009671105.1_ASM967110v1	./GCF_009671105.1_ASM967110v1_genomic.fna.gz
GCF_009648495.1	PRJNA224116	SAMN13175516	na	na	na	na	562	562	Escherichia coli	strain=DH5alpha	na	latest	Complete Genome	Major	Full	2019/11/11	ASM964849v1		GCA_009648495.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/648/495/GCF_009648495.1_ASM964849v1	./GCF_009648495.1_ASM964849v1_genomic.fna.gz
GCF_009650035.1	PRJNA224116	SAMN11008224	na	na	na	na	562	562	Escherichia coli	strain=AUSMDU00014361	na	latest	Complete Genome	Major	Full	2019/11/12	ASM965003v1		GCA_009650035.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/650/035/GCF_009650035.1_ASM965003v1	./GCF_009650035.1_ASM965003v1_genomic.fna.gz
GCF_009671125.1	PRJNA224116	SAMN13242790	na	na	na	na	562	562	Escherichia coli	strain=1919D62	na	latest	Complete Genome	Major	Full	2019/11/19	ASM967112v1		GCA_009671125.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/671/125/GCF_009671125.1_ASM967112v1	./GCF_009671125.1_ASM967112v1_genomic.fna.gz
GCF_009671085.1	PRJNA224116	SAMN13242769	na	na	na	na	562	562	Escherichia coli	strain=1916D6	na	latest	Complete Genome	Major	Full	2019/11/19	ASM967108v1		GCA_009671085.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/671/085/GCF_009671085.1_ASM967108v1	./GCF_009671085.1_ASM967108v1_genomic.fna.gz
GCF_009720465.1	PRJNA224116	SAMN12307470	na	na	na	na	562	562	Escherichia coli	strain=EC2	na	latest	Complete Genome	Major	Full	2019/11/29	ASM972046v1		GCA_009720465.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/720/465/GCF_009720465.1_ASM972046v1	./GCF_009720465.1_ASM972046v1_genomic.fna.gz
GCF_009671045.1	PRJNA224116	SAMN13242665	na	na	na	na	562	562	Escherichia coli	strain=1916D18	na	latest	Complete Genome	Major	Full	2019/11/19	ASM967104v1		GCA_009671045.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/671/045/GCF_009671045.1_ASM967104v1	./GCF_009671045.1_ASM967104v1_genomic.fna.gz
GCF_009738455.1	PRJNA224116	SAMN13429994	na	na	na	na	562	562	Escherichia coli	strain=RM19259	na	latest	Complete Genome	Major	Full	2019/12/10	ASM973845v1		GCA_009738455.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/738/455/GCF_009738455.1_ASM973845v1	./GCF_009738455.1_ASM973845v1_genomic.fna.gz
GCF_009720605.1	PRJNA224116	SAMN13335779	na	na	na	na	562	562	Escherichia coli	strain=ECO2947	na	latest	Complete Genome	Major	Full	2019/11/30	ASM972060v1		GCA_009720605.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/720/605/GCF_009720605.1_ASM972060v1	./GCF_009720605.1_ASM972060v1_genomic.fna.gz
GCF_009738145.1	PRJNA224116	SAMN12996975	na	na	na	na	562	562	Escherichia coli	strain=NT1F31	na	latest	Complete Genome	Major	Full	2019/12/10	ASM973814v1		GCA_009738145.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/738/145/GCF_009738145.1_ASM973814v1	./GCF_009738145.1_ASM973814v1_genomic.fna.gz
GCF_009909485.1	PRJNA224116	SAMN13829575	na	na	na	na	562	562	Escherichia coli	strain=LD26-1	na	latest	Complete Genome	Major	Full	2020/01/21	ASM990948v1		GCA_009909485.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/909/485/GCF_009909485.1_ASM990948v1	./GCF_009909485.1_ASM990948v1_genomic.fna.gz
GCF_009905355.1	PRJNA224116	SAMN13829592	na	na	na	na	562	562	Escherichia coli	strain=LD27-1	na	latest	Complete Genome	Major	Full	2020/01/19	ASM990535v1		GCA_009905355.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/905/355/GCF_009905355.1_ASM990535v1	./GCF_009905355.1_ASM990535v1_genomic.fna.gz
GCF_014338505.1	PRJNA224116	SAMN15889825	na	na	na	na	562	562	Escherichia coli	strain=MFDpir	na	latest	Complete Genome	Major	Full	2020/08/31	ASM1433850v1		GCA_014338505.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/338/505/GCF_014338505.1_ASM1433850v1	./GCF_014338505.1_ASM1433850v1_genomic.fna.gz
GCF_009913415.1	PRJNA224116	SAMN13829591	na	na	na	na	562	562	Escherichia coli	strain=LD22-1	na	latest	Complete Genome	Major	Full	2020/01/22	ASM991341v1		GCA_009913415.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/913/415/GCF_009913415.1_ASM991341v1	./GCF_009913415.1_ASM991341v1_genomic.fna.gz
GCF_009909465.1	PRJNA224116	SAMN13829544	na	na	na	na	562	562	Escherichia coli	strain=LD39-1	na	latest	Complete Genome	Major	Full	2020/01/21	ASM990946v1		GCA_009909465.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/909/465/GCF_009909465.1_ASM990946v1	./GCF_009909465.1_ASM990946v1_genomic.fna.gz
GCF_009909505.1	PRJNA224116	SAMN13829545	na	na	na	na	562	562	Escherichia coli	strain=LD93-1	na	latest	Complete Genome	Major	Full	2020/01/21	ASM990950v1		GCA_009909505.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/909/505/GCF_009909505.1_ASM990950v1	./GCF_009909505.1_ASM990950v1_genomic.fna.gz
