genome	Unique	Distinct	Total	Max_count	rep_types	rep_frac_distinct	rep_frac_total
GCF_004295365.1_ASM429536v1	5063863	5138538	5304022	76	74675	0.014532	0.045279
GCF_004299805.1_ASM429980v1	5142952	5215590	5334521	50	72638	0.013927	0.035911
GCF_004301465.1_ASM430146v1	4938008	4980494	5069440	49	42486	0.008530	0.025926
GCF_004328685.1_ASM432868v1	4692662	4729280	4850957	83	36618	0.007743	0.032632
GCF_004355105.2_ASM435510v2	4495236	4528886	4624837	81	33650	0.007430	0.028023
GCF_004358365.1_ASM435836v1	5158307	5332062	5761689	55	173755	0.032587	0.104723
GCF_004358385.1_ASM435838v1	5059883	5212907	5593573	51	153024	0.029355	0.095411
GCF_004358405.1_ASM435840v1	5131248	5326714	5777964	55	195466	0.036695	0.111928
GCF_004358965.1_ASM435896v1	4510145	4543891	4641632	81	33746	0.007427	0.028328
GCF_004358985.1_ASM435898v1	4458578	4533485	4697161	81	74907	0.016523	0.050793
GCF_004368015.1_ASM436801v1	4829474	4953665	5135511	85	124191	0.025071	0.059592
GCF_004377995.2_ASM437799v2	4993785	5050371	5164324	29	56586	0.011204	0.033023
GCF_004405205.2_ASM440520v2	4745929	4875770	5105296	68	129841	0.026630	0.070391
GCF_004526255.1_ASM452625v1	4543863	4578232	4689653	76	34369	0.007507	0.031088
GCF_004564035.1_ASM456403v1	5159508	5230230	5349804	67	70722	0.013522	0.035571
GCF_004564175.1_ASM456417v1	5096032	5173409	5330903	32	77377	0.014957	0.044058
GCF_004759025.1_ASM475902v1	5193130	5282463	5435354	25	89333	0.016911	0.044565
GCF_004771135.1_ASM477113v1	4984747	5090896	5242755	52	106149	0.020851	0.049212
GCF_004771235.1_ASM477123v1	5112642	5223714	5441792	77	111072	0.021263	0.060486
GCF_004792495.1_ASM479249v1	4796083	4845349	4967037	80	49266	0.010168	0.034418
GCF_004801575.1_ASM480157v1	4730510	4780032	4898377	76	49522	0.010360	0.034270
GCF_004804185.1_ASM480418v1	4753433	4839799	4990447	42	86366	0.017845	0.047494
GCF_004804205.1_ASM480420v1	4620642	4643228	4702375	45	22586	0.004864	0.017381
GCF_004924255.1_ASM492425v1	4879244	4939127	5111430	82	59883	0.012124	0.045425
GCF_004924275.1_ASM492427v1	4909468	4969273	5115564	63	59805	0.012035	0.040288
GCF_004924355.1_ASM492435v1	4969623	5037504	5186609	52	67881	0.013475	0.041836
GCF_005014055.1_ASM501405v1	4905337	4987556	5130920	51	82219	0.016485	0.043965
GCF_005014075.1_ASM501407v1	5149483	5251516	5442917	49	102033	0.019429	0.053911
GCF_005037715.1_ASM503771v2	4971921	5122549	5479511	57	150628	0.029405	0.092634
GCF_005037725.1_ASM503772v2	5136418	5331435	5803235	55	195017	0.036579	0.114904
GCF_005037735.1_ASM503773v2	5118444	5246270	5505619	60	127826	0.024365	0.070324
GCF_005037775.1_ASM503777v2	4827612	4917627	5093540	46	90015	0.018305	0.052209
GCF_005037795.1_ASM503779v2	5053175	5204530	5470789	45	151355	0.029081	0.076335
GCF_005037805.1_ASM503780v2	4799075	4903725	5132734	49	104650	0.021341	0.065006
GCF_005037815.1_ASM503781v2	5117483	5327919	5789997	64	210436	0.039497	0.116151
GCF_005037845.1_ASM503784v2	5121973	5306529	5680563	42	184556	0.034779	0.098334
GCF_005156265.1_ASM515626v1	5009494	5101031	5319029	71	91537	0.017945	0.058194
GCF_005221505.1_ASM522150v1	5212534	5355180	5697346	61	142646	0.026637	0.085094
GCF_005221525.1_ASM522152v1	5184203	5313605	5577125	60	129402	0.024353	0.070452
GCF_005221545.1_ASM522154v1	5126590	5254911	5517187	60	128321	0.024419	0.070796
GCF_005221565.1_ASM522156v1	5126600	5254916	5517250	60	128316	0.024418	0.070805
GCF_005221585.1_ASM522158v1	5160650	5301043	5643575	61	140393	0.026484	0.085571
GCF_005221605.1_ASM522160v1	5134254	5264297	5555503	61	130043	0.024703	0.075826
GCF_005221625.1_ASM522162v1	5134329	5264497	5555853	61	130168	0.024726	0.075870
GCF_005221645.1_ASM522164v1	5134290	5264456	5555865	61	130166	0.024725	0.075879
GCF_005221665.1_ASM522166v1	5133235	5262420	5553109	61	129185	0.024549	0.075611
GCF_005221685.1_ASM522168v1	5133398	5262529	5553098	61	129131	0.024538	0.075579
GCF_005221705.1_ASM522170v1	5133334	5262483	5553094	61	129149	0.024541	0.075590
GCF_005221725.1_ASM522172v1	5133273	5262438	5553103	61	129165	0.024545	0.075603
GCF_005221745.1_ASM522174v1	5134487	5264405	5553191	61	129918	0.024679	0.075399
GCF_005221765.1_ASM522176v1	5127918	5261012	5551299	61	133094	0.025298	0.076267
GCF_005221785.1_ASM522178v1	5131475	5264123	5551549	61	132648	0.025198	0.075668
GCF_005221805.1_ASM522180v1	5134226	5264424	5555859	61	130198	0.024732	0.075890
GCF_005221825.1_ASM522182v1	5134198	5264409	5555858	61	130211	0.024734	0.075895
GCF_005221845.1_ASM522184v1	5113326	5234875	5495689	61	121549	0.023219	0.069575
GCF_005221865.1_ASM522186v1	5133249	5262426	5553108	61	129177	0.024547	0.075608
GCF_005221885.1_ASM522188v1	5196576	5349947	5697432	61	153371	0.028668	0.087909
GCF_005221905.1_ASM522190v1	5273038	5404581	5679926	61	131543	0.024339	0.071636
GCF_005221925.1_ASM522192v1	5134205	5264462	5555859	61	130257	0.024743	0.075894
GCF_005221945.1_ASM522194v1	5134441	5264289	5553086	61	129848	0.024666	0.075390
GCF_005221965.1_ASM522196v1	5134237	5264437	5555859	61	130200	0.024732	0.075888
GCF_005221985.1_ASM522198v1	5134531	5264435	5553189	61	129904	0.024676	0.075391
GCF_005222005.1_ASM522200v1	5131423	5263354	5546867	61	131931	0.025066	0.074897
GCF_005222025.1_ASM522202v1	5134263	5264441	5555857	61	130178	0.024728	0.075883
GCF_005222045.1_ASM522204v1	5134606	5264432	5553014	61	129826	0.024661	0.075348
GCF_005222065.1_ASM522206v1	5134455	5264308	5553090	61	129853	0.024667	0.075388
GCF_005222265.1_ASM522226v1	5133288	5262453	5553098	61	129165	0.024545	0.075599
GCF_005222285.1_ASM522228v1	5082996	5258367	5600966	61	175371	0.033351	0.092479
GCF_005222305.1_ASM522230v1	5157020	5283040	5542180	61	126020	0.023854	0.069496
GCF_005222325.1_ASM522232v1	5129900	5264374	5559130	61	134474	0.025544	0.077212
GCF_005222345.1_ASM522234v1	5108751	5240188	5531281	61	131437	0.025082	0.076389
GCF_005222365.1_ASM522236v1	5129062	5263825	5552190	61	134763	0.025602	0.076209
GCF_005222385.1_ASM522238v1	5132829	5261989	5551253	61	129160	0.024546	0.075375
GCF_005222405.1_ASM522240v1	5082987	5258362	5600953	61	175375	0.033352	0.092478
GCF_005222425.1_ASM522242v1	5157063	5283062	5542184	61	125999	0.023850	0.069489
GCF_005222445.1_ASM522244v1	5157022	5283042	5542185	61	126020	0.023854	0.069497
GCF_005383105.2_ASM538310v2	5232634	5298636	5432141	24	66002	0.012456	0.036727
GCF_005389605.2_ASM538960v2	5070454	5159230	5317101	50	88776	0.017207	0.046387
GCF_005391285.2_ASM539128v2	5137191	5210995	5380964	42	73804	0.014163	0.045303
GCF_005393605.2_ASM539360v2	5105566	5238723	5469313	42	133157	0.025418	0.066507
GCF_005396225.2_ASM539622v2	4879089	4941711	5073901	47	62622	0.012672	0.038395
GCF_005484365.1_ASM548436v1	4550846	4579365	4666009	54	28519	0.006228	0.024681
GCF_005671355.1_ASM567135v1	4773354	4814078	4909181	55	40724	0.008459	0.027668
GCF_005885915.1_ASM588591v1	5131110	5263928	5550419	61	132818	0.025232	0.075545
GCF_005885955.1_ASM588595v1	5174151	5302399	5569536	62	128248	0.024187	0.070991
GCF_005886035.1_ASM588603v1	5057465	5143590	5305686	27	86125	0.016744	0.046784
GCF_005890115.1_ASM589011v1	4630340	4667488	4775102	81	37148	0.007959	0.030316
GCF_005954605.1_ASM595460v1	4472724	4505629	4601491	80	32905	0.007303	0.027984
GCF_005954625.1_ASM595462v1	4474752	4508188	4604995	80	33436	0.007417	0.028283
GCF_005954725.1_ASM595472v1	4539027	4622469	4772270	81	83442	0.018051	0.048875
GCF_006088875.1_ASM608887v1	4968056	5007141	5101025	50	39085	0.007806	0.026067
GCF_006337025.1_ASM633702v1	5056938	5100819	5197462	55	43881	0.008603	0.027037
GCF_006351885.1_ASM635188v1	5373200	5433271	5545045	35	60071	0.011056	0.030991
GCF_006352265.1_ASM635226v1	5023041	5071098	5186277	54	48057	0.009477	0.031475
GCF_006364695.1_ASM636469v1	5040913	5155583	5380957	49	114670	0.022242	0.063194
GCF_006536085.2_ASM653608v3	4721692	4778160	4877427	54	56468	0.011818	0.031930
GCF_006537505.2_ASM653750v3	4671561	4706708	4780360	56	35147	0.007467	0.022760
GCF_006777045.1_ASM677704v1	5139027	5189009	5278734	27	49982	0.009632	0.026466
GCF_006777065.1_ASM677706v1	4811305	4845883	4932870	41	34578	0.007136	0.024644
GCF_006777085.1_ASM677708v1	4877147	4944128	5103703	52	66981	0.013548	0.044391
GCF_006874785.1_ASM687478v1	5176410	5326866	5660248	62	150456	0.028245	0.085480
GCF_006965465.1_ASM696546v1	5181841	5278218	5449966	24	96377	0.018259	0.049198
GCF_007012305.1_ASM701230v1	4889524	4970720	5135253	77	81196	0.016335	0.047851
GCF_007632435.1_ASM763243v1	4899507	4941588	5038353	42	42081	0.008516	0.027558
GCF_007833255.1_ASM783325v1	5112436	5240047	5412154	46	127611	0.024353	0.055379
GCF_007833295.1_ASM783329v1	5222454	5286295	5386855	52	63841	0.012077	0.030519
GCF_007833875.1_ASM783387v1	5211388	5305689	5452903	51	94301	0.017774	0.044291
GCF_007922655.1_ASM792265v1	5123072	5244253	5503462	61	121181	0.023107	0.069118
GCF_007954215.2_ASM795421v2	4963768	5014053	5102086	49	50285	0.010029	0.027110
GCF_007990655.1_ASM799065v1	5164295	5275007	5566182	49	110712	0.020988	0.072202
GCF_007995175.1_ASM799517v1	5048072	5094686	5202831	48	46614	0.009150	0.029745
GCF_008033295.1_ASM803329v1	4749480	4839826	5017877	81	90346	0.018667	0.053488
GCF_008033315.1_ASM803331v1	4764660	4817507	4948917	81	52847	0.010970	0.037232
GCF_008042015.2_ASM804201v2	4619420	4674476	4789800	57	55056	0.011778	0.035571
GCF_008065435.1_ASM806543v1	5136869	5255300	5524336	80	118431	0.022536	0.070138
GCF_008065455.1_ASM806545v1	4851856	4944305	5227452	80	92449	0.018698	0.071851
GCF_008080655.1_ASM808065v1	4605848	4667811	4815599	71	61963	0.013275	0.043557
GCF_008124005.1_ASM812400v1	5063035	5141487	5337995	81	78452	0.015259	0.051510
GCF_008124085.1_ASM812408v1	4955515	5011333	5109590	62	55818	0.011138	0.030154
GCF_008124105.1_ASM812410v1	4486045	4522804	4636397	77	36759	0.008127	0.032429
GCF_008124125.1_ASM812412v1	4547541	4585138	4699840	77	37597	0.008200	0.032405
GCF_008124145.1_ASM812414v1	4547308	4584777	4699306	76	37469	0.008172	0.032345
GCF_008124165.1_ASM812416v1	4667871	4705790	4822162	76	37919	0.008058	0.031996
GCF_008124185.1_ASM812418v1	4668050	4705881	4822362	76	37831	0.008039	0.031999
GCF_008124205.1_ASM812420v1	4570856	4608117	4721713	76	37261	0.008086	0.031950
GCF_008124225.1_ASM812422v1	4570930	4607962	4721431	76	37032	0.008037	0.031876
GCF_008124245.1_ASM812424v1	4512224	4548045	4659125	76	35821	0.007876	0.031530
GCF_008124265.1_ASM812426v1	4572778	4609278	4721103	76	36500	0.007919	0.031417
GCF_008124285.1_ASM812428v1	4561286	4609570	4733028	76	48284	0.010475	0.036286
GCF_008124305.1_ASM812430v1	4538114	4573438	4680300	76	35324	0.007724	0.030380
GCF_008124325.1_ASM812432v1	4572716	4609213	4721128	76	36497	0.007918	0.031436
GCF_008124345.1_ASM812434v1	4538035	4573406	4680279	76	35371	0.007734	0.030392
GCF_008124365.1_ASM812436v1	4539647	4574864	4680308	76	35217	0.007698	0.030054
GCF_008124385.1_ASM812438v1	4539546	4574760	4680270	76	35214	0.007697	0.030067
GCF_008124405.1_ASM812440v1	4475272	4545500	4698218	76	70228	0.015450	0.047453
GCF_008124425.1_ASM812442v1	4908394	4979189	5131795	77	70795	0.014218	0.043533
GCF_008152105.1_ASM815210v1	5108246	5158559	5273469	32	50313	0.009753	0.031331
GCF_008329665.1_ASM832966v1	4784305	4883869	5074403	54	99564	0.020386	0.057169
GCF_008370755.1_ASM837075v1	4856166	4937699	5099165	42	81533	0.016512	0.047655
GCF_008375335.1_ASM837533v1	4586843	4637821	4790637	74	50978	0.010992	0.042540
GCF_008462425.1_ASM846242v1	4998937	5137959	5444590	61	139022	0.027058	0.081852
GCF_008632555.1_ASM863255v1	4907639	4977623	5129810	76	69984	0.014060	0.043310
GCF_008632575.1_ASM863257v1	4910563	4979062	5130711	77	68499	0.013757	0.042908
GCF_008632595.1_ASM863259v1	5306439	5386604	5517307	52	80165	0.014882	0.038219
GCF_008634095.2_ASM863409v2	5169975	5317724	5679812	63	147749	0.027784	0.089763
GCF_008635785.2_ASM863578v2	5066834	5193350	5502315	63	126516	0.024361	0.079145
GCF_008642395.1_ASM864239v1	5208395	5276577	5405913	26	68182	0.012922	0.036537
GCF_008642415.1_ASM864241v1	4723274	4752168	4831527	47	28894	0.006080	0.022406
GCF_008727135.1_ASM872713v1	5233207	5411041	5763904	61	177834	0.032865	0.092072
GCF_008727155.1_ASM872715v1	5275672	5425273	5737927	61	149601	0.027575	0.080561
GCF_008727175.1_ASM872717v1	5111703	5320120	5697068	62	208417	0.039175	0.102748
GCF_008727195.1_ASM872719v1	5240216	5386759	5691472	62	146543	0.027204	0.079286
GCF_008761455.2_ASM876145v2	5085351	5181686	5363486	54	96335	0.018591	0.051857
GCF_008761475.2_ASM876147v2	5086865	5189396	5380351	67	102531	0.019758	0.054548
GCF_008761495.2_ASM876149v2	5139850	5264549	5485387	47	124699	0.023687	0.062992
GCF_008761515.1_ASM876151v1	4837713	4937194	5096244	51	99481	0.020149	0.050730
GCF_008761535.2_ASM876153v3	5042660	5221935	5571978	42	179275	0.034331	0.094996
GCF_008807135.1_ASM880713v1	4886047	4951223	5137507	80	65176	0.013164	0.048946
GCF_008807155.1_ASM880715v1	4818644	4890765	5070089	79	72121	0.014746	0.049594
GCF_008807295.1_ASM880729v1	4677016	4728450	4873680	79	51434	0.010878	0.040352
GCF_008807655.1_ASM880765v1	5052711	5125554	5260420	27	72843	0.014212	0.039485
GCF_008823185.1_ASM882318v1	4602620	4646360	4789029	75	43740	0.009414	0.038924
GCF_008824125.1_ASM882412v1	4498104	4544528	4658483	81	46424	0.010215	0.034427
GCF_008925965.1_ASM892596v1	5147289	5280561	5596745	61	133272	0.025238	0.080307
GCF_008926085.1_ASM892608v1	5070968	5207126	5504460	61	136158	0.026148	0.078753
GCF_008926105.1_ASM892610v1	5079908	5205913	5488324	62	126005	0.024204	0.074415
GCF_008926125.1_ASM892612v1	5192140	5337524	5638195	62	145384	0.027238	0.079113
GCF_008926145.1_ASM892614v1	5217810	5361836	5663827	61	144026	0.026861	0.078748
GCF_008926165.1_ASM892616v1	5160597	5305484	5610175	62	144887	0.027309	0.080136
GCF_008926185.1_ASM892618v1	5167234	5312921	5644670	62	145687	0.027421	0.084582
GCF_008926305.1_ASM892630v1	5112278	5238611	5486289	61	126333	0.024116	0.068172
GCF_008931135.1_ASM893113v1	5153464	5332441	5727272	61	178977	0.033564	0.100189
GCF_008931185.1_ASM893118v1	5195724	5326056	5581476	62	130332	0.024471	0.069113
GCF_008931725.1_ASM893172v1	4510663	4544589	4640955	81	33926	0.007465	0.028074
GCF_008931745.1_ASM893174v1	4505561	4539480	4635842	81	33919	0.007472	0.028103
GCF_008931765.1_ASM893176v1	4503878	4537768	4634096	81	33890	0.007468	0.028100
GCF_008931865.1_ASM893186v1	4508969	4542870	4639209	81	33901	0.007462	0.028074
GCF_008949495.1_ASM894949v1	5293161	5376873	5540023	32	83712	0.015569	0.044560
GCF_009176965.1_ASM917696v1	4762062	4836046	5015961	81	73984	0.015298	0.050618
GCF_009363035.1_ASM936303v1	4898261	4962219	5118827	77	63958	0.012889	0.043089
GCF_009395265.1_ASM939526v1	4476510	4513528	4762619	108	37018	0.008202	0.060074
GCF_009431955.1_ASM943195v1	5132189	5283552	5635473	61	151363	0.028648	0.089306
GCF_009432215.1_ASM943221v1	5130994	5271140	5591753	61	140146	0.026587	0.082400
GCF_009432415.1_ASM943241v1	5073218	5201823	5494844	61	128605	0.024723	0.076731
GCF_009432635.1_ASM943263v1	5092470	5213555	5474597	61	121085	0.023225	0.069800
GCF_009432795.1_ASM943279v1	5018837	5138659	5396343	61	119822	0.023318	0.069956
GCF_009432915.1_ASM943291v1	5082275	5225931	5556512	61	143656	0.027489	0.085348
GCF_009433135.1_ASM943313v1	5141533	5270378	5542402	62	128845	0.024447	0.072328
GCF_009577985.1_ASM957798v1	5120829	5200313	5335383	50	79484	0.015284	0.040213
GCF_009618015.1_ASM961801v1	4779017	4813260	4909313	60	34243	0.007114	0.026541
GCF_009627495.1_ASM962749v1	5082828	5196263	5428533	61	113435	0.021830	0.063683
GCF_009648495.1_ASM964849v1	4611713	4651490	4762235	76	39777	0.008551	0.031607
GCF_009650035.1_ASM965003v1	5197987	5368581	5774365	56	170594	0.031776	0.099817
GCF_009650175.1_ASM965017v1	5066672	5185971	5438025	61	119299	0.023004	0.068288
GCF_009663855.1_ASM966385v1	4401616	4432493	4528103	78	30877	0.006966	0.027934
GCF_009664185.1_ASM966418v1	4615209	4664859	4789675	43	49650	0.010643	0.036425
GCF_009664205.1_ASM966420v1	4577838	4627776	4753077	44	49938	0.010791	0.036869
GCF_009664305.1_ASM966430v1	5135092	5273583	5577975	62	138491	0.026261	0.079399
GCF_009664455.1_ASM966445v1	5174209	5311908	5647738	62	137699	0.025923	0.083844
GCF_009671045.1_ASM967104v1	4722850	4788843	4966155	42	65993	0.013781	0.048993
GCF_009671085.1_ASM967108v1	4663914	4718079	4866936	79	54165	0.011480	0.041715
GCF_009671105.1_ASM967110v1	4874849	4919266	5024765	72	44417	0.009029	0.029835
GCF_009671125.1_ASM967112v1	4785148	4826253	4969334	50	41105	0.008517	0.037065
GCF_009720465.1_ASM972046v1	4981080	5050160	5201796	76	69080	0.013679	0.042431
GCF_009720605.1_ASM972060v1	4816035	4898106	5059384	45	82071	0.016756	0.048099
GCF_009728565.1_ASM972856v1	4948423	5065489	5251080	46	117066	0.023111	0.057637
GCF_009738145.1_ASM973814v1	4782884	4843096	5034734	72	60212	0.012433	0.050023
GCF_009738455.1_ASM973845v1	5160347	5303051	5609279	62	142704	0.026910	0.080034
GCF_009761715.1_ASM976171v1	4818609	4869542	4994282	54	50933	0.010460	0.035175
GCF_009762385.1_ASM976238v1	4527567	4557713	4642425	62	30146	0.006614	0.024741
GCF_009832885.1_ASM983288v1	4525238	4562596	4668449	76	37358	0.008188	0.030676
GCF_009832985.1_ASM983298v1	4404041	4434906	4530544	79	30865	0.006960	0.027922
GCF_009866925.2_ASM986692v3	4743248	4832687	5000382	79	89439	0.018507	0.051423
GCF_009866945.2_ASM986694v3	5088359	5241077	5543451	78	152718	0.029139	0.082095
GCF_009867015.2_ASM986701v2	5139362	5270986	5558091	78	131624	0.024971	0.075337
GCF_009867035.2_ASM986703v3	4990271	5071918	5238808	50	81647	0.016098	0.047442
GCF_009905115.1_ASM990511v1	4630342	4689197	4868489	82	58855	0.012551	0.048916
GCF_009905135.1_ASM990513v1	5005748	5088540	5240564	45	82792	0.016270	0.044807
GCF_009905355.1_ASM990535v1	4506034	4562192	4694045	81	56158	0.012309	0.040053
GCF_009909465.1_ASM990946v1	4839281	4919940	5077572	88	80659	0.016394	0.046930
GCF_009909485.1_ASM990948v1	4994627	5046313	5160890	44	51686	0.010242	0.032216
GCF_009909505.1_ASM990950v1	4721783	4768895	4897720	77	47112	0.009879	0.035922
GCF_009913415.1_ASM991341v1	5000349	5051086	5168203	44	50737	0.010045	0.032478
GCF_009914295.1_ASM991429v1	4868934	4924304	5047364	68	55370	0.011244	0.035351
GCF_009931235.1_ASM993123v1	5203019	5348908	5660909	61	145889	0.027275	0.080886
GCF_009931435.1_ASM993143v1	5103688	5163356	5271090	65	59668	0.011556	0.031759
GCF_009948655.1_ASM994865v1	5019789	5103837	5242906	61	84048	0.016468	0.042556
GCF_009949145.1_ASM994914v1	4981334	5045854	5169627	44	64520	0.012787	0.036423
GCF_009949705.1_ASM994970v1	4684293	4740948	4857329	76	56655	0.011950	0.035624
GCF_009950125.1_ASM995012v1	4840270	4926356	5178034	73	86086	0.017475	0.065230
GCF_009950475.1_ASM995047v1	4940641	5026074	5170009	47	85433	0.016998	0.044365
GCF_009950805.1_ASM995080v1	5004962	5137003	5326422	47	132041	0.025704	0.060352
GCF_009951245.1_ASM995124v1	4908184	5012727	5179526	47	104543	0.020856	0.052387
GCF_009951745.1_ASM995174v1	4804231	4878635	5005925	42	74404	0.015251	0.040291
GCF_009952125.1_ASM995212v1	4871977	4924449	5027227	51	52472	0.010655	0.030882
GCF_010092405.1_ASM1009240v1	4924148	4980376	5107838	48	56228	0.011290	0.035962
GCF_010092965.1_ASM1009296v1	4998496	5065482	5195354	42	66986	0.013224	0.037891
GCF_010365325.1_ASM1036532v1	5181349	5255895	5375755	56	74546	0.014183	0.036163
GCF_010365345.1_ASM1036534v1	4946355	5010728	5172978	67	64373	0.012847	0.043809
GCF_010365365.1_ASM1036536v1	4631332	4690240	4835170	49	58908	0.012560	0.042157
GCF_010365385.1_ASM1036538v1	5140553	5213984	5349879	31	73431	0.014083	0.039127
GCF_010365405.1_ASM1036540v1	4630381	4689961	4835512	49	59580	0.012704	0.042422
GCF_010365425.1_ASM1036542v1	4903267	4975182	5126389	78	71915	0.014455	0.043524
GCF_010365465.1_ASM1036546v1	4752202	4801898	4910486	55	49696	0.010349	0.032234
GCF_010365485.1_ASM1036548v1	4995747	5076477	5234077	50	80730	0.015903	0.045534
GCF_010365505.1_ASM1036550v1	4787918	4847222	4995241	77	59304	0.012235	0.041504
GCF_010365525.1_ASM1036552v1	4817699	4881375	5030417	76	63676	0.013045	0.042286
GCF_010365545.1_ASM1036554v1	4690748	4729439	4827887	55	38691	0.008181	0.028406
GCF_010509415.1_ASM1050941v1	4614025	4650639	4755056	80	36614	0.007873	0.029659
GCF_010668985.1_ASM1066898v1	4689472	4713516	4769501	53	24044	0.005101	0.016779
GCF_010669005.1_ASM1066900v1	4594893	4627320	4703869	67	32427	0.007008	0.023167
GCF_010669025.1_ASM1066902v1	4859215	4885354	4945541	72	26139	0.005350	0.017455
GCF_010706435.1_ASM1070643v1	4976381	5051783	5164246	50	75402	0.014926	0.036378
GCF_010724935.1_ASM1072493v1	4671217	4709230	4812137	51	38013	0.008072	0.029284
GCF_010725305.1_ASM1072530v1	5008373	5082829	5237913	48	74456	0.014649	0.043823
GCF_011022275.1_ASM1102227v1	4933855	5014662	5151932	27	80807	0.016114	0.042329
GCF_011044355.1_ASM1104435v1	5118954	5170380	5260013	51	51426	0.009946	0.026817
GCF_011045215.1_ASM1104521v1	5237474	5365753	5581863	79	128279	0.023907	0.061698
GCF_011045235.1_ASM1104523v1	4796639	4814660	4866117	71	18021	0.003743	0.014278
GCF_011045255.1_ASM1104525v1	5040938	5120927	5268869	30	79989	0.015620	0.043260
GCF_011045275.1_ASM1104527v1	4975998	5037166	5166208	30	61168	0.012143	0.036818
GCF_011045295.1_ASM1104529v1	4980647	5037846	5162286	30	57199	0.011354	0.035186
GCF_011045475.1_ASM1104547v1	4870277	4970053	5159846	77	99776	0.020075	0.056120
GCF_011045875.1_ASM1104587v1	4565614	4625003	4792315	79	59389	0.012841	0.047305
GCF_011045895.1_ASM1104589v1	4561692	4621759	4789557	80	60067	0.012997	0.047575
GCF_011064575.1_ASM1106457v1	4588239	4624917	4707606	48	36678	0.007931	0.025356
GCF_011067085.1_ASM1106708v1	5029337	5114068	5272859	48	84731	0.016568	0.046184
GCF_011330935.2_ASM1133093v2	5169333	5319402	5546792	50	150069	0.028212	0.068050
GCF_011331065.1_ASM1133106v1	4727079	4776875	4920592	77	49796	0.010424	0.039327
GCF_011331215.2_ASM1133121v2	5074071	5137011	5255729	50	62940	0.012252	0.034564
GCF_011383085.1_ASM1138308v1	4738684	4775400	4859051	50	36716	0.007689	0.024772
GCF_011403355.1_ASM1140335v1	4734088	4772836	4869387	48	38748	0.008118	0.027786
GCF_011404215.1_ASM1140421v1	4456251	4494849	4615606	82	38598	0.008587	0.034525
GCF_011404355.1_ASM1140435v1	4553272	4590995	4711550	81	37723	0.008217	0.033594
GCF_011404475.1_ASM1140447v1	4613160	4654132	4753790	81	40972	0.008803	0.029583
GCF_011404595.1_ASM1140459v1	4532606	4567862	4701921	85	35256	0.007718	0.036010
GCF_011404755.1_ASM1140475v1	4419025	4445889	4557752	84	26864	0.006042	0.030438
GCF_011404895.1_ASM1140489v1	4462198	4492214	4622351	76	30016	0.006682	0.034648
GCF_011492885.1_ASM1149288v1	4812360	4872071	5025804	80	59711	0.012256	0.042470
GCF_011492925.1_ASM1149292v1	4739054	4803103	4934007	46	64049	0.013335	0.039512
GCF_011492985.1_ASM1149298v1	4831944	4885626	5035873	70	53682	0.010988	0.040495
GCF_011691525.1_ASM1169152v1	4614892	4659011	4792982	79	44119	0.009470	0.037156
GCF_011769865.1_ASM1176986v1	4788669	4845568	4985521	76	56899	0.011742	0.039485
GCF_011996085.1_ASM1199608v1	5401369	5606725	6068038	56	205356	0.036627	0.109866
GCF_012044775.1_ASM1204477v1	4744860	4773622	4852982	45	28762	0.006025	0.022279
GCF_012149945.1_ASM1214994v1	5073017	5135708	5246120	60	62691	0.012207	0.032996
GCF_012221365.1_ASM1222136v1	4625068	4713062	5142256	173	87994	0.018670	0.100576
GCF_012221565.1_ASM1222156v1	4624530	4712643	5141022	171	88113	0.018697	0.100465
GCF_012278675.1_ASM1227867v1	4588888	4633321	4770300	78	44433	0.009590	0.038029
GCF_012516455.1_ASM1251645v1	5022770	5084304	5214702	47	61534	0.012103	0.036806
GCF_012537835.1_ASM1253783v1	4896867	4947930	5092244	76	51063	0.010320	0.038368
GCF_012915625.1_ASM1291562v2	5152524	5274947	5542184	60	122423	0.023208	0.070308
GCF_012934435.1_ASM1293443v1	4751459	4786478	4863312	26	35019	0.007316	0.022999
GCF_012934455.1_ASM1293445v1	5155496	5224172	5367228	45	68676	0.013146	0.039449
GCF_012934475.1_ASM1293447v1	5029676	5116955	5239050	49	87279	0.017057	0.039964
GCF_012934495.1_ASM1293449v1	4961333	5021588	5144258	23	60255	0.011999	0.035559
GCF_012934515.1_ASM1293451v1	4870458	4945893	5079665	48	75435	0.015252	0.041185
GCF_012934535.1_ASM1293453v1	4991372	5071792	5198385	53	80420	0.015856	0.039823
GCF_012934555.1_ASM1293455v1	4997756	5054744	5167347	47	56988	0.011274	0.032820
GCF_012934575.1_ASM1293457v1	4579591	4612597	4702077	81	33006	0.007156	0.026049
GCF_012934595.1_ASM1293459v1	4923190	4957247	5025210	49	34057	0.006870	0.020302
GCF_012934615.1_ASM1293461v1	5103423	5164765	5259944	49	61342	0.011877	0.029757
GCF_012934635.1_ASM1293463v1	4804983	4865811	4954254	43	60828	0.012501	0.030130
GCF_012934655.2_ASM1293465v2	4986014	5099345	5274883	56	113331	0.022225	0.054763
GCF_012934675.1_ASM1293467v1	4744876	4784560	4874540	49	39684	0.008294	0.026600
GCF_012934695.1_ASM1293469v1	4935458	4977117	5060818	30	41659	0.008370	0.024771
GCF_012934715.1_ASM1293471v1	5098330	5145010	5264432	52	46680	0.009073	0.031552
GCF_012934765.1_ASM1293476v1	5255983	5344789	5514080	58	88806	0.016615	0.046807
